Mussel,Finfish,Kelp ,Halibut ,Viewshed_max,Benthic ,Disease 
5.90E+07,0,0,342.56,4.37E+05,0,0
0,1.08E+06,0,0,1.0324,0.61996,8.09E-10
4.60E+07,2.80E+05,0,0,0,0.66947,8.09E-10
6.12E+07,1.93E+07,0,573.58,3284.5,0.60348,1.31E-08
6.07E+07,1.89E+07,0,745.84,3209.5,0.62973,4.13E-09
6.03E+07,1.95E+07,0,754.28,3103.1,0.66768,4.13E-09
5.86E+07,0,0,532.28,2854.8,0,0
0,8.74E+05,0,0,10.324,0.60774,8.09E-10
4.56E+07,3.98E+05,0,0,1.0324,0.64187,8.09E-10
6.05E+07,1.92E+07,0,589.61,4087.4,0.59865,1.31E-08
6.00E+07,1.89E+07,0,730.54,3950.7,0.62339,1.31E-08
5.94E+07,1.95E+07,0,806.24,3554.2,0.65867,1.31E-08
5.73E+07,0,0,647.95,3289.4,0,0
0,3.94E+06,0,0,0,0.56553,8.09E-10
0,1.14E+06,0,0,0,0.64502,8.09E-10
6.03E+07,1.91E+07,0,551.59,3724.3,0.61601,1.31E-08
5.93E+07,1.88E+07,0,731.85,4457.6,0.61855,1.31E-08
5.80E+07,1.94E+07,0,816.3,4384.8,0.65191,1.31E-08
5.51E+07,0,0,700.03,4065.4,0,0
0,6.50E+06,0,0,0,0.56939,8.09E-10
5.93E+07,1.93E+07,0,759.82,4087.2,0.61494,1.31E-08
5.65E+07,1.93E+07,0,806.52,4527.9,0.64957,1.31E-08
5.35E+07,0,0,673.91,4513.6,0,0
4.86E+07,0,0,599.39,4475.7,0,0
5.90E+07,1.87E+07,0,590.67,1885.7,0.60098,4.02E-08
5.95E+07,0,0,532.55,1680,0,0
5.76E+07,1.89E+07,0,515.18,1599.5,0.60144,4.02E-08
5.69E+07,1.85E+07,0,452.48,1586.9,0.59376,4.02E-08
5.60E+07,1.69E+07,0,380.57,1821.9,0.58182,4.02E-08
5.53E+07,1.53E+07,0,309.57,2306.1,0.5902,1.13E-07
6.31E+07,1.07E+07,0,707.88,0,0.59725,2.38E-06
6.37E+07,1.52E+07,0,633.66,611.49,0.58825,2.38E-06
6.35E+07,1.14E+07,0,612.2,665.07,0.61197,2.38E-06
6.33E+07,1.17E+07,0,584.21,787.43,0.6079,8.75E-07
6.39E+07,1.03E+07,0,739.22,22.152,0.61568,2.38E-06
6.37E+07,1.04E+07,0,695.19,101.39,0.62432,2.38E-06
6.38E+07,1.09E+07,0,638.7,844.18,0.63273,2.38E-06
6.33E+07,1.12E+07,0,623.07,780.78,0.62943,2.38E-06
6.28E+07,1.14E+07,0,605.19,878.37,0.62553,8.75E-07
6.13E+07,1.65E+07,0,578.16,1219.3,0.64485,8.75E-07
5.38E+07,1.44E+07,0,495.84,1797,0.60391,8.75E-07
5.21E+07,1.50E+07,0,417.81,1928.3,0.61684,8.75E-07
6.56E+07,9.26E+06,0,829.72,0,0.61274,6.06E-06
6.44E+07,8.96E+06,0,698.25,163.48,0.622,2.38E-06
6.42E+07,1.39E+07,0,638.95,272.8,0.64904,2.38E-06
6.39E+07,8.74E+06,0,583.81,398.43,0.6387,2.38E-06
6.40E+07,1.43E+07,0,537.61,650.25,0.64897,2.38E-06
6.38E+07,8.83E+06,0,506.46,820.03,0.64836,2.38E-06
6.35E+07,1.48E+07,0,483.78,958.12,0.64734,2.38E-06
6.33E+07,9.33E+06,0,474.04,987.56,0.65025,2.38E-06
6.23E+07,9.76E+06,0,455.92,1040.2,0.64912,2.38E-06
6.06E+07,0,0,363.86,1209.6,0,0
5.80E+07,0,0,101.94,1481.2,0,0
6.66E+07,9.91E+06,0,895.2,0,0.6377,6.06E-06
6.69E+07,9.29E+06,0,864.16,0,0.62946,6.06E-06
6.68E+07,8.64E+06,0,808.06,0,0.62508,6.06E-06
6.66E+07,8.11E+06,0,738.63,0,0.62292,6.06E-06
6.55E+07,7.45E+06,0,648.88,307.26,0.62748,6.06E-06
6.50E+07,7.27E+06,0,550.77,506.31,0.63485,2.38E-06
6.44E+07,6.93E+06,0,506.05,523.92,0.64128,2.38E-06
6.42E+07,0,0,432.4,592.87,0,0
6.40E+07,0,0,403.87,888.12,0,0
6.35E+07,0,0,372.19,1065.9,0,0
6.25E+07,0,0,306.28,1221.8,0,0
6.69E+07,8.21E+06,0,882.56,0,0.63779,6.06E-06
6.69E+07,7.57E+06,0,820.18,0,0.63364,6.06E-06
6.66E+07,6.82E+06,0,713.68,0,0.63135,6.06E-06
6.60E+07,1.19E+07,0,596.33,325.11,0.64576,6.06E-06
6.55E+07,5.93E+06,0,522.31,581.31,0.63668,6.06E-06
6.49E+07,0,0,478.97,659.44,0,0
6.39E+07,0,0,406,762.05,0,0
6.34E+07,0,0,352.89,804.94,0,0
6.37E+07,0,0,294.78,977.32,0,0
6.29E+07,0,0,154.61,1082.3,0,0
6.24E+07,0,0,0,1229.5,0,0
6.66E+07,7.08E+06,0,870.85,0,0.64566,6.06E-06
6.66E+07,6.36E+06,0,793.75,0,0.64192,6.06E-06
6.60E+07,5.51E+06,0,664.94,215.89,0.63952,6.06E-06
6.51E+07,4.81E+06,0,522.93,622.23,0.63962,6.06E-06
6.52E+07,4.37E+06,0,476.58,756.32,0.64064,6.06E-06
6.52E+07,0,0,422.85,843.48,0,0
6.47E+07,0,0,356.22,746.2,0,0
6.39E+07,0,0,237.44,825.93,0,0
6.31E+07,0,0,39.304,906.14,0,0
6.61E+07,6.05E+06,0,861.55,0,0.65105,6.06E-06
6.63E+07,5.25E+06,0,752.4,99.706,0.64719,6.06E-06
6.63E+07,4.43E+06,0,596.29,542.78,0.64565,6.06E-06
6.60E+07,0,0,415.73,746.68,0,0
6.57E+07,0,0,311.34,808.05,0,0
6.52E+07,0,0,200.52,839.2,0,0
6.44E+07,0,0,0,753.69,0,0
6.64E+07,0,0,804.71,37.005,0,0
6.64E+07,0,0,679.88,235.3,0,0
6.63E+07,0,0,520.35,624.08,0,0
6.60E+07,0,0,273.8,713.69,0,0
6.54E+07,0,0,0,730.74,0,0
6.30E+07,1.32E+07,0,817.28,772.91,0.62805,0.00016008
6.33E+07,1.25E+07,0,853.56,748.64,0.64108,0.00016008
6.62E+07,0,0,861.32,38.225,0,0
6.61E+07,0,0,759.59,100.33,0,0
6.61E+07,0,0,586.57,460.09,0,0
6.60E+07,0,0,324.59,647.11,0,0
6.54E+07,0,0,9.201,651.27,0,0
6.41E+07,1.21E+07,0,763.67,1102.7,0.6001,0.00016008
6.38E+07,1.16E+07,0,792.34,1647.1,0.61852,0.00016008
6.38E+07,1.11E+07,0,801.32,2092.2,0.63561,0.00016008
6.39E+07,1.05E+07,0,768.2,1864.5,0.65201,0.00016008
6.44E+07,0,0,744.75,1188,0,0
6.59E+07,0,0,922.36,62.416,0,0
6.59E+07,0,0,810.99,134.26,0,0
6.56E+07,0,0,649.34,196.85,0,0
6.53E+07,0,0,439.02,428.53,0,0
6.52E+07,0,0,200.83,544.25,0,0
6.63E+07,1.04E+07,0,746.95,833.71,0.5918,0.00016008
6.58E+07,9.83E+06,0,771.16,1154.8,0.60771,0.00016008
6.52E+07,9.34E+06,0,768.4,2193.7,0.62572,0.00016008
6.50E+07,8.76E+06,0,752.15,2825.6,0.64144,0.00016008
6.42E+07,0,0,328.26,514.35,0,0
6.74E+07,7.40E+06,0,715.54,896.62,0.57772,0.00016008
6.75E+07,7.65E+06,0,753.64,887.03,0.59399,0.00016008
6.69E+07,7.25E+06,0,761.23,1275.4,0.61188,0.00016008
6.67E+07,6.67E+06,0,783.7,2567.6,0.6251,0.00016008
